freq,unit,sex,age,isced11,geo,time,value
A,PC,T,Y15-24,ED0-2,AT,2010,12.6
A,PC,T,Y15-24,ED0-2,AT,2011,12.8
A,PC,T,Y15-24,ED0-2,AT,2012,13.3
A,PC,T,Y15-24,ED0-2,AT,2013,13.3
A,PC,T,Y15-24,ED0-2,AT,2014,14.4
A,PC,T,Y15-24,ED0-2,AT,2015,13.7
A,PC,T,Y15-24,ED0-2,AT,2016,16.8
A,PC,T,Y15-24,ED0-2,AT,2017,15.8
A,PC,T,Y15-24,ED0-2,AT,2018,13.9
A,PC,T,Y15-24,ED0-2,AT,2019,13.2
A,PC,T,Y15-24,ED0-2,AT,2020,14.5
A,PC,T,Y15-24,ED0-2,AT,2021,15.3
A,PC,T,Y15-24,ED0-2,AT,2022,13.9
A,PC,T,Y15-24,ED0-2,AT,2023,14.7
A,PC,T,Y15-24,ED0-2,AT,2024,14.0
A,PC,T,Y15-24,ED0-2,AT,2025,16.5
A,PC,T,Y15-24,ED0-2,BA,2021,45.6
A,PC,T,Y15-24,ED0-2,BA,2022,53.0
A,PC,T,Y15-24,ED0-2,BA,2023,45.4
A,PC,T,Y15-24,ED0-2,BA,2024,36.7
A,PC,T,Y15-24,ED0-2,BE,2010,35.9
A,PC,T,Y15-24,ED0-2,BE,2011,31.0
A,PC,T,Y15-24,ED0-2,BE,2012,32.8
A,PC,T,Y15-24,ED0-2,BE,2013,39.8
A,PC,T,Y15-24,ED0-2,BE,2014,37.8
A,PC,T,Y15-24,ED0-2,BE,2015,40.0
A,PC,T,Y15-24,ED0-2,BE,2016,33.8
A,PC,T,Y15-24,ED0-2,BE,2017,30.0
A,PC,T,Y15-24,ED0-2,BE,2018,23.5
A,PC,T,Y15-24,ED0-2,BE,2019,24.4
A,PC,T,Y15-24,ED0-2,BE,2020,24.3
A,PC,T,Y15-24,ED0-2,BE,2021,27.6
A,PC,T,Y15-24,ED0-2,BE,2022,26.0
A,PC,T,Y15-24,ED0-2,BE,2023,25.3
A,PC,T,Y15-24,ED0-2,BE,2024,27.7
A,PC,T,Y15-24,ED0-2,BE,2025,28.5
A,PC,T,Y15-24,ED0-2,BG,2010,40.2
A,PC,T,Y15-24,ED0-2,BG,2011,47.1
A,PC,T,Y15-24,ED0-2,BG,2012,46.5
A,PC,T,Y15-24,ED0-2,BG,2013,51.6
A,PC,T,Y15-24,ED0-2,BG,2014,45.1
A,PC,T,Y15-24,ED0-2,BG,2015,37.5
A,PC,T,Y15-24,ED0-2,BG,2016,30.8
A,PC,T,Y15-24,ED0-2,BG,2017,25.0
A,PC,T,Y15-24,ED0-2,BG,2018,22.7
A,PC,T,Y15-24,ED0-2,BG,2019,15.6
A,PC,T,Y15-24,ED0-2,BG,2020,20.5
A,PC,T,Y15-24,ED0-2,BG,2021,27.9
A,PC,T,Y15-24,ED0-2,BG,2022,20.7
A,PC,T,Y15-24,ED0-2,BG,2023,22.6
A,PC,T,Y15-24,ED0-2,BG,2025,23.8
A,PC,T,Y15-24,ED0-2,CH,2010,8.1
A,PC,T,Y15-24,ED0-2,CH,2011,7.8
A,PC,T,Y15-24,ED0-2,CH,2012,7.4
A,PC,T,Y15-24,ED0-2,CH,2013,8.0
A,PC,T,Y15-24,ED0-2,CH,2014,8.3
A,PC,T,Y15-24,ED0-2,CH,2015,8.6
A,PC,T,Y15-24,ED0-2,CH,2016,9.1
A,PC,T,Y15-24,ED0-2,CH,2017,8.4
A,PC,T,Y15-24,ED0-2,CH,2018,8.6
A,PC,T,Y15-24,ED0-2,CH,2019,8.7
A,PC,T,Y15-24,ED0-2,CH,2020,8.8
A,PC,T,Y15-24,ED0-2,CH,2021,9.3
A,PC,T,Y15-24,ED0-2,CH,2022,7.9
A,PC,T,Y15-24,ED0-2,CH,2023,8.8
A,PC,T,Y15-24,ED0-2,CH,2024,10.0
A,PC,T,Y15-24,ED0-2,CH,2025,8.8
A,PC,T,Y15-24,ED0-2,CY,2010,13.0
A,PC,T,Y15-24,ED0-2,CY,2011,14.5
A,PC,T,Y15-24,ED0-2,CY,2012,30.1
A,PC,T,Y15-24,ED0-2,CY,2013,46.2
A,PC,T,Y15-24,ED0-2,CY,2014,34.3
A,PC,T,Y15-24,ED0-2,CY,2015,48.4
A,PC,T,Y15-24,ED0-2,CY,2016,25.4
A,PC,T,Y15-24,ED0-2,CY,2017,35.8
A,PC,T,Y15-24,ED0-2,CY,2018,27.9
A,PC,T,Y15-24,ED0-2,CY,2019,18.7
A,PC,T,Y15-24,ED0-2,CY,2020,15.9
A,PC,T,Y15-24,ED0-2,CY,2021,16.4
A,PC,T,Y15-24,ED0-2,CY,2022,23.2
A,PC,T,Y15-24,ED0-2,CY,2023,24.5
A,PC,T,Y15-24,ED0-2,CY,2024,19.2
A,PC,T,Y15-24,ED0-2,CY,2025,17.5
A,PC,T,Y15-24,ED0-2,CZ,2010,43.3
A,PC,T,Y15-24,ED0-2,CZ,2011,45.5
A,PC,T,Y15-24,ED0-2,CZ,2012,48.9
A,PC,T,Y15-24,ED0-2,CZ,2013,41.9
A,PC,T,Y15-24,ED0-2,CZ,2014,32.4
A,PC,T,Y15-24,ED0-2,CZ,2015,36.9
A,PC,T,Y15-24,ED0-2,CZ,2016,30.1
A,PC,T,Y15-24,ED0-2,CZ,2017,20.1
A,PC,T,Y15-24,ED0-2,CZ,2018,18.9
A,PC,T,Y15-24,ED0-2,CZ,2019,15.0
A,PC,T,Y15-24,ED0-2,CZ,2020,16.5
A,PC,T,Y15-24,ED0-2,CZ,2021,21.3
A,PC,T,Y15-24,ED0-2,CZ,2022,20.9
A,PC,T,Y15-24,ED0-2,CZ,2023,22.2
A,PC,T,Y15-24,ED0-2,CZ,2024,22.6
A,PC,T,Y15-24,ED0-2,CZ,2025,26.7
A,PC,T,Y15-24,ED0-2,DE,2010,13.3
A,PC,T,Y15-24,ED0-2,DE,2011,11.9
A,PC,T,Y15-24,ED0-2,DE,2012,11.8
A,PC,T,Y15-24,ED0-2,DE,2013,11.3
A,PC,T,Y15-24,ED0-2,DE,2014,11.8
A,PC,T,Y15-24,ED0-2,DE,2015,11.4
A,PC,T,Y15-24,ED0-2,DE,2016,11.0
A,PC,T,Y15-24,ED0-2,DE,2017,11.0
A,PC,T,Y15-24,ED0-2,DE,2018,10.1
A,PC,T,Y15-24,ED0-2,DE,2019,8.9
A,PC,T,Y15-24,ED0-2,DE,2020,11.2
