freq,unit,sex,age,isced11,geo,time,value
A,PC,T,Y15-24,ED0-2,AT,2010,37.3
A,PC,T,Y15-24,ED0-2,AT,2011,38.4
A,PC,T,Y15-24,ED0-2,AT,2012,37.3
A,PC,T,Y15-24,ED0-2,AT,2013,35.6
A,PC,T,Y15-24,ED0-2,AT,2014,36.7
A,PC,T,Y15-24,ED0-2,AT,2015,36.7
A,PC,T,Y15-24,ED0-2,AT,2016,34.6
A,PC,T,Y15-24,ED0-2,AT,2017,33.5
A,PC,T,Y15-24,ED0-2,AT,2018,34.8
A,PC,T,Y15-24,ED0-2,AT,2019,34.5
A,PC,T,Y15-24,ED0-2,AT,2020,35.8
A,PC,T,Y15-24,ED0-2,AT,2021,35.1
A,PC,T,Y15-24,ED0-2,AT,2022,35.5
A,PC,T,Y15-24,ED0-2,AT,2023,38.3
A,PC,T,Y15-24,ED0-2,AT,2024,36.1
A,PC,T,Y15-24,ED0-2,AT,2025,35.6
A,PC,T,Y15-24,ED0-2,BA,2021,2.7
A,PC,T,Y15-24,ED0-2,BA,2022,1.3
A,PC,T,Y15-24,ED0-2,BA,2023,1.4
A,PC,T,Y15-24,ED0-2,BA,2024,1.3
A,PC,T,Y15-24,ED0-2,BA,2025,1.3
A,PC,T,Y15-24,ED0-2,BE,2010,11.3
A,PC,T,Y15-24,ED0-2,BE,2011,12.4
A,PC,T,Y15-24,ED0-2,BE,2012,11.6
A,PC,T,Y15-24,ED0-2,BE,2013,9.3
A,PC,T,Y15-24,ED0-2,BE,2014,9.3
A,PC,T,Y15-24,ED0-2,BE,2015,8.3
A,PC,T,Y15-24,ED0-2,BE,2016,8.7
A,PC,T,Y15-24,ED0-2,BE,2017,9.8
A,PC,T,Y15-24,ED0-2,BE,2018,12.1
A,PC,T,Y15-24,ED0-2,BE,2019,12.1
A,PC,T,Y15-24,ED0-2,BE,2020,10.6
A,PC,T,Y15-24,ED0-2,BE,2021,10.9
A,PC,T,Y15-24,ED0-2,BE,2022,11.8
A,PC,T,Y15-24,ED0-2,BE,2023,12.0
A,PC,T,Y15-24,ED0-2,BE,2024,12.8
A,PC,T,Y15-24,ED0-2,BE,2025,15.1
A,PC,T,Y15-24,ED0-2,BG,2010,5.3
A,PC,T,Y15-24,ED0-2,BG,2011,4.3
A,PC,T,Y15-24,ED0-2,BG,2012,5.3
A,PC,T,Y15-24,ED0-2,BG,2013,4.7
A,PC,T,Y15-24,ED0-2,BG,2014,4.9
A,PC,T,Y15-24,ED0-2,BG,2015,5.2
A,PC,T,Y15-24,ED0-2,BG,2016,5.7
A,PC,T,Y15-24,ED0-2,BG,2017,6.5
A,PC,T,Y15-24,ED0-2,BG,2018,6.8
A,PC,T,Y15-24,ED0-2,BG,2019,8.1
A,PC,T,Y15-24,ED0-2,BG,2020,6.0
A,PC,T,Y15-24,ED0-2,BG,2021,5.0
A,PC,T,Y15-24,ED0-2,BG,2022,5.1
A,PC,T,Y15-24,ED0-2,BG,2023,5.0
A,PC,T,Y15-24,ED0-2,BG,2024,4.0
A,PC,T,Y15-24,ED0-2,BG,2025,3.6
A,PC,T,Y15-24,ED0-2,CH,2010,53.9
A,PC,T,Y15-24,ED0-2,CH,2011,55.0
A,PC,T,Y15-24,ED0-2,CH,2012,53.4
A,PC,T,Y15-24,ED0-2,CH,2013,53.5
A,PC,T,Y15-24,ED0-2,CH,2014,52.7
A,PC,T,Y15-24,ED0-2,CH,2015,52.3
A,PC,T,Y15-24,ED0-2,CH,2016,52.4
A,PC,T,Y15-24,ED0-2,CH,2017,53.1
A,PC,T,Y15-24,ED0-2,CH,2018,52.4
A,PC,T,Y15-24,ED0-2,CH,2019,50.9
A,PC,T,Y15-24,ED0-2,CH,2020,49.7
A,PC,T,Y15-24,ED0-2,CH,2021,49.5
A,PC,T,Y15-24,ED0-2,CH,2022,51.1
A,PC,T,Y15-24,ED0-2,CH,2023,51.0
A,PC,T,Y15-24,ED0-2,CH,2024,49.0
A,PC,T,Y15-24,ED0-2,CH,2025,50.9
A,PC,T,Y15-24,ED0-2,CY,2010,15.8
A,PC,T,Y15-24,ED0-2,CY,2011,13.5
A,PC,T,Y15-24,ED0-2,CY,2012,10.8
A,PC,T,Y15-24,ED0-2,CY,2013,7.0
A,PC,T,Y15-24,ED0-2,CY,2014,6.8
A,PC,T,Y15-24,ED0-2,CY,2015,4.4
A,PC,T,Y15-24,ED0-2,CY,2016,8.3
A,PC,T,Y15-24,ED0-2,CY,2017,6.9
A,PC,T,Y15-24,ED0-2,CY,2018,7.4
A,PC,T,Y15-24,ED0-2,CY,2019,8.6
A,PC,T,Y15-24,ED0-2,CY,2020,11.6
A,PC,T,Y15-24,ED0-2,CY,2021,11.2
A,PC,T,Y15-24,ED0-2,CY,2022,8.0
A,PC,T,Y15-24,ED0-2,CY,2023,10.3
A,PC,T,Y15-24,ED0-2,CY,2024,11.9
A,PC,T,Y15-24,ED0-2,CY,2025,12.1
A,PC,T,Y15-24,ED0-2,CZ,2010,3.9
A,PC,T,Y15-24,ED0-2,CZ,2011,3.7
A,PC,T,Y15-24,ED0-2,CZ,2012,4.1
A,PC,T,Y15-24,ED0-2,CZ,2013,4.5
A,PC,T,Y15-24,ED0-2,CZ,2014,5.5
A,PC,T,Y15-24,ED0-2,CZ,2015,5.1
A,PC,T,Y15-24,ED0-2,CZ,2016,6.0
