freq,unit,sex,age,nace_r2,geo,time,value
A,THS_PER,T,Y15-24,A,AT,2015,14.3
A,THS_PER,T,Y15-24,A,AT,2016,11.8
A,THS_PER,T,Y15-24,A,AT,2017,10.2
A,THS_PER,T,Y15-24,A,AT,2018,9.2
A,THS_PER,T,Y15-24,A,AT,2019,11.1
A,THS_PER,T,Y15-24,A,AT,2020,11.0
A,THS_PER,T,Y15-24,A,AT,2021,9.8
A,THS_PER,T,Y15-24,A,AT,2022,10.0
A,THS_PER,T,Y15-24,A,AT,2023,11.3
A,THS_PER,T,Y15-24,A,AT,2024,7.2
A,THS_PER,T,Y15-24,A,AT,2025,7.1
A,THS_PER,T,Y15-24,A,BA,2021,4.6
A,THS_PER,T,Y15-24,A,BA,2022,2.1
A,THS_PER,T,Y15-24,A,BA,2023,1.3
A,THS_PER,T,Y15-24,A,BA,2024,1.4
A,THS_PER,T,Y15-24,A,BA,2025,1.6
A,THS_PER,T,Y15-24,A,BE,2015,2.9
A,THS_PER,T,Y15-24,A,BE,2016,2.9
A,THS_PER,T,Y15-24,A,BE,2017,4.0
A,THS_PER,T,Y15-24,A,BE,2018,3.0
A,THS_PER,T,Y15-24,A,BE,2019,2.8
A,THS_PER,T,Y15-24,A,BE,2020,3.6
A,THS_PER,T,Y15-24,A,BE,2021,2.8
A,THS_PER,T,Y15-24,A,BE,2022,2.6
A,THS_PER,T,Y15-24,A,BE,2023,3.6
A,THS_PER,T,Y15-24,A,BE,2024,2.0
A,THS_PER,T,Y15-24,A,BE,2025,3.9
A,THS_PER,T,Y15-24,A,BG,2015,11.2
A,THS_PER,T,Y15-24,A,BG,2016,11.1
A,THS_PER,T,Y15-24,A,BG,2017,12.0
A,THS_PER,T,Y15-24,A,BG,2018,9.6
A,THS_PER,T,Y15-24,A,BG,2019,9.5
A,THS_PER,T,Y15-24,A,BG,2020,9.4
A,THS_PER,T,Y15-24,A,BG,2021,7.1
A,THS_PER,T,Y15-24,A,BG,2022,7.4
A,THS_PER,T,Y15-24,A,BG,2023,6.1
A,THS_PER,T,Y15-24,A,BG,2024,5.8
A,THS_PER,T,Y15-24,A,BG,2025,5.3
A,THS_PER,T,Y15-24,A,CH,2015,14.1
A,THS_PER,T,Y15-24,A,CH,2016,16.7
A,THS_PER,T,Y15-24,A,CH,2017,15.1
A,THS_PER,T,Y15-24,A,CH,2018,13.1
A,THS_PER,T,Y15-24,A,CH,2019,11.8
A,THS_PER,T,Y15-24,A,CH,2020,11.3
A,THS_PER,T,Y15-24,A,CH,2021,8.1
A,THS_PER,T,Y15-24,A,CH,2022,6.4
A,THS_PER,T,Y15-24,A,CH,2023,8.5
A,THS_PER,T,Y15-24,A,CH,2024,9.0
A,THS_PER,T,Y15-24,A,CH,2025,8.0
A,THS_PER,T,Y15-24,A,CY,2015,1.4
A,THS_PER,T,Y15-24,A,CY,2016,1.2
A,THS_PER,T,Y15-24,A,CY,2019,0.5
A,THS_PER,T,Y15-24,A,CY,2020,0.7
A,THS_PER,T,Y15-24,A,CY,2024,0.6
A,THS_PER,T,Y15-24,A,CZ,2015,7.0
A,THS_PER,T,Y15-24,A,CZ,2016,6.6
A,THS_PER,T,Y15-24,A,CZ,2017,5.5
A,THS_PER,T,Y15-24,A,CZ,2018,7.1
A,THS_PER,T,Y15-24,A,CZ,2019,5.9
A,THS_PER,T,Y15-24,A,CZ,2020,6.9
A,THS_PER,T,Y15-24,A,CZ,2021,7.8
A,THS_PER,T,Y15-24,A,CZ,2022,5.1
A,THS_PER,T,Y15-24,A,CZ,2023,8.1
A,THS_PER,T,Y15-24,A,CZ,2024,10.3
A,THS_PER,T,Y15-24,A,CZ,2025,12.1
A,THS_PER,T,Y15-24,A,DE,2015,49.8
A,THS_PER,T,Y15-24,A,DE,2016,41.1
A,THS_PER,T,Y15-24,A,DE,2017,41.5
A,THS_PER,T,Y15-24,A,DE,2018,40.2
A,THS_PER,T,Y15-24,A,DE,2019,44.6
A,THS_PER,T,Y15-24,A,DE,2020,62.0
A,THS_PER,T,Y15-24,A,DE,2021,51.8
A,THS_PER,T,Y15-24,A,DE,2022,56.0
A,THS_PER,T,Y15-24,A,DE,2023,53.2
A,THS_PER,T,Y15-24,A,DE,2024,50.2
A,THS_PER,T,Y15-24,A,DE,2025,49.1
A,THS_PER,T,Y15-24,A,DK,2015,9.0
A,THS_PER,T,Y15-24,A,DK,2016,9.3
A,THS_PER,T,Y15-24,A,DK,2017,8.7
A,THS_PER,T,Y15-24,A,DK,2018,8.1
A,THS_PER,T,Y15-24,A,DK,2019,9.4
A,THS_PER,T,Y15-24,A,DK,2020,8.7
A,THS_PER,T,Y15-24,A,DK,2021,8.2
A,THS_PER,T,Y15-24,A,DK,2022,8.0
A,THS_PER,T,Y15-24,A,DK,2023,7.7
A,THS_PER,T,Y15-24,A,DK,2024,7.3
A,THS_PER,T,Y15-24,A,DK,2025,9.6
A,THS_PER,T,Y15-24,A,EA21,2015,317.6
A,THS_PER,T,Y15-24,A,EA21,2016,314.4
A,THS_PER,T,Y15-24,A,EA21,2017,310.9
A,THS_PER,T,Y15-24,A,EA21,2018,292.2
A,THS_PER,T,Y15-24,A,EA21,2019,286.4
A,THS_PER,T,Y15-24,A,EA21,2020,316.2
A,THS_PER,T,Y15-24,A,EA21,2021,331.2
A,THS_PER,T,Y15-24,A,EA21,2022,318.3
A,THS_PER,T,Y15-24,A,EA21,2023,294.3
A,THS_PER,T,Y15-24,A,EA21,2024,288.4
A,THS_PER,T,Y15-24,A,EA21,2025,296.7
A,THS_PER,T,Y15-24,A,EE,2015,1.3
A,THS_PER,T,Y15-24,A,EE,2018,2.0
A,THS_PER,T,Y15-24,A,EE,2019,1.3
A,THS_PER,T,Y15-24,A,EE,2020,1.2
A,THS_PER,T,Y15-24,A,EL,2015,15.4
A,THS_PER,T,Y15-24,A,EL,2016,13.8
A,THS_PER,T,Y15-24,A,EL,2017,15.3
A,THS_PER,T,Y15-24,A,EL,2018,13.5
A,THS_PER,T,Y15-24,A,EL,2019,10.7
A,THS_PER,T,Y15-24,A,EL,2020,8.7
A,THS_PER,T,Y15-24,A,EL,2021,11.0
A,THS_PER,T,Y15-24,A,EL,2022,13.2
A,THS_PER,T,Y15-24,A,EL,2023,15.2
