freq,sex,age,training,wstatus,unit,geo,time,value
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT,2010,7.4
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT,2011,7.3
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT,2012,6.8
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT,2013,7.3
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT,2014,7.7
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT,2015,7.5
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT,2016,7.7
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT,2017,6.5
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT,2018,6.8
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT,2019,7.1
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT,2020,8.0
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT,2021,8.5
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT,2022,8.1
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT,2023,8.7
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT,2024,8.7
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT,2025,9.7
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT1,2010,8.4
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT1,2011,9.0
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT1,2012,8.4
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT1,2013,8.7
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT1,2014,9.4
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT1,2015,9.2
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT1,2016,9.6
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT1,2017,7.9
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT1,2018,8.1
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT1,2019,8.5
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT1,2020,8.5
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT1,2021,9.9
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT1,2022,10.3
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT1,2023,10.1
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT1,2024,10.4
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT1,2025,10.6
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT12,2010,5.7
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT12,2011,8.0
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT12,2012,6.1
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT12,2013,7.1
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT12,2014,8.1
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT12,2015,7.4
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT12,2016,7.0
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT12,2017,6.1
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT12,2018,5.5
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT12,2019,7.3
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT12,2020,7.0
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT12,2021,8.7
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT12,2022,7.9
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT12,2023,7.3
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT12,2024,7.8
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT12,2025,8.1
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT13,2010,11.0
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT13,2011,10.3
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT13,2012,10.7
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT13,2013,10.5
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT13,2014,10.8
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT13,2015,11.1
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT13,2016,11.6
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT13,2017,9.6
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT13,2018,10.4
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT13,2019,9.8
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT13,2020,9.9
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT13,2021,11.4
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT13,2022,12.4
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT13,2023,12.3
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT13,2024,12.9
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT13,2025,12.8
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT2,2010,7.1
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT2,2011,5.8
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT2,2012,6.1
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT2,2013,7.2
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT2,2014,6.9
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT2,2015,6.9
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT2,2016,7.0
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT2,2017,5.8
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT2,2018,5.4
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT2,2019,6.4
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT2,2020,7.7
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT2,2021,7.6
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT2,2022,7.2
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT2,2023,7.5
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT2,2024,7.7
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT2,2025,9.7
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT21,2010,6.4
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT21,2011,7.7
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT21,2012,8.2
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT21,2013,6.1
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT21,2014,7.3
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT21,2015,8.1
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT21,2016,8.2
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT21,2017,5.7
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT21,2018,6.0
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT21,2019,6.1
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT21,2020,7.9
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT21,2021,5.9
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT21,2022,6.0
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT21,2023,7.1
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT21,2024,7.8
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT21,2025,7.5
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT22,2010,7.4
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT22,2011,5.0
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT22,2012,5.1
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT22,2013,7.6
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT22,2014,6.7
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT22,2015,6.4
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT22,2016,6.5
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT22,2017,5.8
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT22,2018,5.2
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT22,2019,6.5
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT22,2020,7.6
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT22,2021,8.3
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT22,2022,7.8
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT22,2023,7.7
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT22,2024,7.6
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT22,2025,10.6
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT3,2010,6.6
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT3,2011,6.2
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT3,2012,5.5
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT3,2013,5.9
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT3,2014,6.2
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT3,2015,5.9
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT3,2016,5.9
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT3,2017,5.3
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT3,2018,6.0
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT3,2019,5.8
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT3,2020,7.4
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT3,2021,7.2
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT3,2022,5.8
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT3,2023,7.6
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT3,2024,7.1
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT3,2025,8.4
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT31,2010,6.2
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT31,2011,6.7
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT31,2012,4.8
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT31,2013,5.7
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT31,2014,6.2
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT31,2015,5.9
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT31,2016,5.8
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT31,2017,5.5
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT31,2018,6.1
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT31,2019,5.3
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT31,2020,7.5
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT31,2021,6.6
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT31,2022,5.1
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT31,2023,7.6
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT31,2024,7.5
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT31,2025,9.4
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT32,2010,6.5
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT32,2012,5.9
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT32,2014,5.4
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT32,2015,5.0
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT32,2016,6.2
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT32,2018,6.1
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT32,2019,6.2
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT32,2020,8.3
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT32,2021,7.6
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT32,2022,6.8
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT32,2023,6.4
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT32,2024,5.6
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT32,2025,7.1
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT33,2010,6.4
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT33,2011,5.7
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT33,2012,5.3
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT33,2013,6.7
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT33,2014,5.8
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT33,2015,5.7
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT33,2016,5.7
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT33,2017,4.7
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT33,2018,5.3
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT33,2019,6.0
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT33,2020,6.9
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT33,2021,7.1
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT33,2022,5.5
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT33,2023,7.6
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT33,2024,5.6
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT33,2025,6.9
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT34,2010,8.2
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT34,2011,7.8
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT34,2012,7.6
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT34,2013,6.7
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT34,2014,8.0
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT34,2015,7.2
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT34,2016,6.7
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT34,2017,6.9
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT34,2019,7.2
A,T,Y15-24,NO_FE_NO_NFE,NEMP,PC,AT34,2020,7.1
